,dates,heads,texts
10,2017-07-03,Jamshed Dasti released from prison,"Awami Raj Party MNA Jamshed Dasti was released from District Jail Sargodha on Monday after his plea for bail in two separate cases was accepted by a Sargodha Anti-Terrorism Court (ATC). ,The two cases pertaining to hate speech and water theft had been shifted to an ATC in Sargodha from Muzaffargarh.,Surprisingly, 150 lawyers had appeared in court to plead for Dasti's bail in the two cases.,Greeted by a crowd of his supporters after his release from jail, Dasti thanked the judiciary for taking note of his case.,""I offer my well wishes to the high court for taking notice of my case,"" a relieved Dasti said speaking to reporters outside jail.,""I can proudly say that the independent judiciary is not under the influence of anyone,"" he added.,Last week, Dasti, who was remanded for six days to police custody on June 23, had , and starved by police in the Multan Central Jail. ,A medical exam conducted by the Punjab government on Friday 'revealed' that , were found during the MNA's examination.,The examination report, prepared by a board of five doctors from the local District Headquarters Hospital, had found there were no visible marks of violence on the MNA's body.,A Muzaffargarh police team had arrested Dasti in a case that Civil Lines police had registered against him back in his hometown.,Additional District and Sessions Judge Shahbaz Ahmed had allowed six-day judicial remand of the accused.,Dasti alleged that he had been framed and false cases had been registered against him. ""I am not at fault, I am a poor man. They drag me and beat me,"" he had added.,Over all, there are 25 cases pending against Dasti in various courts. "
11,2017-07-03,View from the Courtroom: Davis book brings to light misuse of Qisas and Diyat law,"The recently published memoir of CIA contractor Raymond Davis titled “The Contractor: How I Landed in a Pakistani Prison and Ignited a Diplomatic Crisis” has once again stirred a controversy, bringing into focus the Qisas (retribution) and Diyat (blood money) provisions of Pakistan Penal Code (PPC), 1860. ,The memoir reveals how a mockery of the law was made by none other than officials of a top intelligence agency of the country as well as other people at the helm of affairs. While certain facts about the trial of Raymond Davis in March 2011 were reported at that time, especially about the role of then chief of Inter-Services Intelligence (ISI) Ahmad Shuja Pasha in his release, the memoir cleared how the Qisas and Diyat law was misused. ,The writer explained how the legal heirs of the two persons killed by him, Mohammad Faheem and Faizan Haider, were coerced by the intelligence agency to accept blood money for pardoning him. “To separate the family members from the radical Islamists whispering in their ears and the lawyer who endorsed a hardline Islamist agenda, ISI operatives intervened on March 14, detaining and sequestering all 18 of them (legal heirs). For the two days preceding the March 16 trial that would decide my fate, Butt (lawyer of the legal heirs) was unable to reach to any of them by phone, and their neighbour confirmed that they had disappeared,” he claims. , ,The memoir further revealed: “The night before the March 16 trial, ISI agents took the family members to Kot Lakhpat Jail and encouraged them to accept the deal that was on table. If they agreed to forgive me, they would be given a large sum of money in return. If they didn’t agree, well, the consequences of that decision were made clear the following morning when they were reportedly held on gunpoint just outside the prison’s courtroom for several hours and warned not to say a word about it to the media.” ,When the judge cleared the courtroom of all irrelevant persons, only General Pasha was left inside. “One of the few people allowed to stay behind was General Pasha, who’d been continually texting ambassador Munter, updating him about the court proceedings,” Raymond Davis claims. ,Interestingly, Raymond Davis states that relying on the Qisas and Diyat law was not his first choice as this law was used to provide legal protection to those who had carried out so-called honour killings. “Relying on such a law to secure my freedom wouldn’t have been my first choice. As someone who values the separation of church and state, I found Sharia law repugnant. But, as Carmela (consul general) had made perfectly clear, I really didn’t have a say in the matter.” ,When he was told on March 16, 2011 by the consul general Carmela Conroy that the proceedings were shifted to Shariah law, he was uneasy with it and stated: “I can’t believe they can get away with this. I’m toast, right? They’re going to drag me into this prison’s courtyard and stone me to death, aren’t they?” ,“No, Ray. That’s Qisas. Sharia law also allows for Diyat, which the families of the victims have agreed to accept,” Carmela replied. ,In the memoir, he has also given a brief history of the Qisas and Diyat law. ,It remains a fact that ever since its inception in 1990, the Qisas and Diyat law remains in centre of different controversies because of its misuse specially in cases of honour-related murders or killings by influential people. ,Commonly known as QDO (Qisas and Diyat Ordinance), through it drastic changes were made in Chapter 16 of the PPC to offences affecting human body. Sections 229 to 338 of PPC, related to bodily hurt and murder were repealed and replaced with new provisions, which the then government claimed were in accordance with the Islamic injunctions and a judgment of the Shariat Appellate Bench of the Supreme Court. ,The law defines Diyat as “compensation specified in section 323 payable to the heirs of the victims.” Similarly, Qisas is defined as “punishment by causing similar hurt at the same part of the body of the convict as he has caused to the victim or by causing his death if he has committed qatl-i-amd in exercise of the right of the victim or a Wali.” ,Initially, these provisions were introduced through the Criminal Law Amendment Ordinance VII of 1990, popularly known as Qisas and Diyat Ordinance, in Oct 1990 by the then president Ghulam Ishaq Khan during the caretaker government headed by prime minister Ghulam Mustafa Jatoi. The ordinance was re-promulgated over 20 times as the constitutional life of an ordinance is four months. Finally, in 1997 during the government of Nawaz Sharif, it became an Act of the Parliament, which covered all offenses against human body and provided for Qisas and Diyat. ,The Federal Shariat Court had in several Shariat petitions declared that the existing provisions of PPC related to murder and bodily hurt were contrary to the Islamic injunctions. The then government had filed an appeal before the Shariat Appellate bench of the Supreme Court, which dismissed the same in July 1989. The Shariat appellate bench made it binding on the government to amend the relevant laws. ,The five-member appellate bench unanimously decided that sections 399 to 388 of PPC 1860 are repugnant to the injunctions of Islam on different grounds. The bench ruled that these provisions did not provide for Qisas in cases of qatl-i-amd (deliberate murder) and jurooh-al-amd (deliberately causing hurt) as was prescribed in the Holy Quran and Sunnah; it did not provide for compromise between the parties on agreed compensation when they make sulh (compromise) in case of qatl and jurh (hurt); it did not exempt a non-pubert and an insane offender from the sentence of death in cases of murder; etc. ,The bench had held that this decision should take effect from March 23, 1990, whereby the provisions referred to by the bench, to the extent they had been held to be repugnant to the injunctions of Islam, should cease to have effect. ,Following the introduction of the Qisas and Diyat law the crimes affecting human body are no longer considered offences against the society or state, but are now considered offences against an individual. Thus, if these individuals so decide, offenders can walk free even after committing heinous crimes like murder. The legal heirs of a deceased have the right to make a compromise with the offender under section 309 and 310. "
12,2017-07-04,NCHR reasons against execution warrants for ‘juvenile offender’,"ISLAMABAD: The National Commission on Human Rights (NCHR) has taken up the case of Muhammad Iqbal, a juvenile offender, and urged authorities to abstain from issuing his execution warrants. ,It is worth mentioning here that Gujrat Jail authorities forwarded requests to issue his ‘black warrant’ to the Lahore High Court on June 30. ,Muhammad Iqbal was just 17 years old when convicted of a fatal shooting in Mandi Bahauddin in 1999. Suspecting he was a juvenile, the prosecution requested that an ossification test be conducted, the results of which confirmed his minority. However, the court announced the death sentence as Juvenile Justice System Ordinance (JJSO), 2000 — which prohibits execution of a juvenile — could not be passed till that time. ,His death sentence was upheld by the Lahore High Court on March 20, 2002 and his appeal subsequently dismissed by the Supreme Court on Sept 11 the same year. ,Muhammad Iqbal was 17 years old when convicted of a fatal shooting in Mandi Bahauddin in 1999,A complaint was filed on Iqbal’s behalf by Justice Project Pakistan (JPP), a human rights organisation that provides legal representation to most vulnerable Pakistani prisoners, on June 23 before the NCHR, which held an urgent inquiry into the matter on Monday. ,Officials from the home and prison departments were present and a letter of proceedings has been issued to the home department secretary, the registrar of the Lahore High Court and the Anti-Terrorism Court, Gujranwala. ,Member of NCHR Chaudhry Muhammad Shafique, while talking to Dawn, said that the commission was concerned about the denial of appropriate relief due to which human rights were violated. ,“So it was decided to accept the application and it has been directed to hold the process of execution as long as proper inquiry is held because it would be violation of Pakistan’s laws,” he said. ,According to a statement issued by the JPP, Iqbal’s trial was conducted two years before the JJSO 2000 was passed. ,It says that after Pakistan ratified the UN Convention on the Rights of the Child in 1990, the president of Pakistan issued a notification granting remission to those juvenile offenders whose death sentences had been confirmed prior to the enactment of the JJSO on the basis of an inquiry into their juvenility. ,In fact, Iqbal was listed as one of the prisoners who would benefit from this notification. Despite this, his mercy petition was rejected in March 2016 and he has been on death row for well over half his life. ,As Pakistan prepares to appear before the Human Rights Committee, the monitoring body of the International Covenant on Civil and Political Rights (ICCPR), on July 11, the issuance of execution warrants for a juvenile offender, such as Muhammad Iqbal, will have a detrimental impact on the country’s performance, the statement claims. ,JPP Executive Director Sarah Belal said she welcomed the intervention by the NCHR to prevent the wrongful execution of a juvenile offender. ,“The Pakistan government has previously stated its commitment to enforcing the prohibition against the execution of juveniles before the UN Child Rights Committee, and not issuing Iqbal’s warrant is the right step to that end,” she reminded."
13,2017-07-04,MPA Achakzai named in 2009 kidnapping FIR,"			
,ISLAMABAD: The Balochistan police told the Supreme Court on Monday that a provincial assembly member who , in Quetta was also booked in a 2009 case of kidnapping and extortion. ,During the course of investigation, it transpired that accused Abdul Majeed Achakzai had also been nominated in another case, FIR No. 156/2009, under Sections 365 and 34 of the Pakistan Penal Code, read with Section 6-K of the Anti-Terrorism Act 1997, lodged with Police Station Satellite Town, Quetta, said a three-page report submitted by Balochistan Police Inspector General Ahsan Mehboob. ,Section 365 of the PPC deals with kidnapping and Section 6-K of the ATA with extortion of money or property. ,The Quetta Anti-Terrorism Court-I judge had on June 26 , of Mr Achakzai after he was arrested in the case of the policeman’s death, the report said, adding that during the investigation the suspect also failed to present a valid driving licence.,Police submit report to SC on Quetta accident,The report was furnished before the Human Rights Cell of the Supreme Court in compliance with directives issued by Chief Justice Mian Saqib Nisar who had taken suo motu notice, before proceeding for Umra, of the killing of the traffic sergeant, Sub-Inspector Haji Attaullah, at Quetta’s GPO Chowk. ,The chief justice had sought a comprehensive report from the Balochistan IG and also ordered the Dera Ghazi Khan district police chief to ensure that the family of the deceased officer did not face any threat or pressure. ,Balochistan Assembly Speaker Raheela Durrani was also intimated about the arrest of the lawmaker. ,According to reports, Sergeant Attaullah was hit by a rashly driven Toyota Land Cruiser at 7.04pm on June 20 when he was performing his duty at the GPO Chowk on Zarghoon Road. ,The driver escaped from the scene, while also hitting one Abdul Ghafoor on a bicycle who was slightly injured. Another vehicle, driven by Dad Mohammad, was also damaged during the accident. ,The injured official was taken to the Sandeman Provincial Hospital where he died, the police report said, also confirming that after the collection of evidence by the investigating officer, it transpired that the vehicle, No. BD-4381, involved in the accident was being driven by MPA Achakzai. Moreover, no skid marks were observed on the crime scene, reflecting no effort to stop the vehicle by the driver. ,A technical report from the Quetta motor vehicle examiner on June 29 traced no mechanical or technical fault in the vehicle. ,The accused was arrested on June 24 at his home in Satellite Town and presented before the Quetta judicial magistrate-III who remanded him in police custody for five days. ,The report said the accused was in police custody till July 5 and the investigation was under way. ,The police report said action had been initiated against the Quetta Civil Lines station house officer for his failure to identify the driver involved in the accident before lodging the first information report. A show-cause notice has been issued to the SHO who has been suspended. The Quetta deputy inspector general has entrusted the inquiry to the superintendent of police, Saddar Division, to ascertain why the FIR No. 92/2017 of June 20 was registered against an unknown person and whether the injured sergeant and passer-by were shifted to the hospital in time and proper medical care provided to them. ,Action has also been initiated against the supervisory officer, the City Division SP, operations, and an explanation has been sought from him over his failure to monitor and supervise the case at the initial stage. The acting SP, investigation, has also been suspended and is facing action for his failure to arrest the accused till June 23 after he was identified and nominated in the case on June 21. ,The Balochistan Special Branch DIG had been asked to carry out a fact-finding inquiry against the police officials responsible for lodging the FIR against an unknown person and not arresting the accused on the crime scene, the report said."
14,2017-07-04,Brother turns out to be ‘killer’ of minor sister,"LAHORE: Shalimar police claimed on Monday to have arrested an 11-year-old boy for allegedly killing his minor sister four days ago for teasing him “for having poor handwriting”.,Nine-year-old Eman Tanvir was found strangled at her grandmother’s house in Shalimar area on June 30 and a murder case was registered against unidentified killer(s).,Earlier, the police had taken victim’s stepmother Saba into custody for interrogation but later released her.,Civil Lines Division Superintendent of Police (SP) Investigation wing Hasnain Haider said addressing a press conference at his office in Mughalpura on Monday that the minor girl was killed by her elder brother over “jealousy”.,He said the children Eman Tanvir and her brother Abdul Rehman had come to spend Eid holidays at their grandmother’s house in Shalimar.,The SP said, in the light of investigation, that the siblings held a handwriting competition when their grandmother was not home. ,He said Eman teased her elder brother for having poor handwriting. This annoyed the boy who allegedly put a scarf around his sister’s neck and allegedly strangled her to death.,He said the boy later also cut a vein of his arm and also locked the door of the room from inside to conceal his crime.,He said on returning home, the grandmother found the room locked and called neighbours for help. The neighbours broke open the door, finding the girl lying dead and her brother with an injury on his arm, he added.,He said the neighbours shifted the girl’s body to hospital and informed the police about the incident.,Mr Haider said the police had first taken the parents of the children into custody for interrogation but later released them after they were found “innocent”.,He said that later when the boy was interrogated he confessed to killing his sister over handwriting issue."
15,2017-07-05,"Decline in street crime recorded during Ramazan in Karachi, official data shows","KARACHI: A comparative analysis of crime pattern during the month of Ramazan over the past three years has revealed that the number of street crime incidents has decreased with an overall drop in major crime incidents owing to the ongoing targeted operations in the city besides other factors. But police officials admitted that much more was needed to be done to improve the situation, it emerged on Tuesday.,The analysis of day-to-day crime, which has been conducted by the Counter-Terrorism Department (CTD) of police and Citizens-Police Liaison Committee (CPLC), revealed that no bank was looted in the city during Ramazan. ,Police plan to privatise Madadgar 15 helpline to ‘improve performance’,The officials believed that some efforts such as outsourcing of police’s Madadgar 15 to a ‘third party’ and designating police mobile vans at each police station to respond to emergency calls were under way, but the crucial aspect of tackling street crime by focusing on technology through installation of CCTV cameras at two dozen designated hotspots was yet to materialise. ,The crime record of the three years showed that the number of automobiles snatched during Ramazan was 31 in 2015, 14 in 2016 and 13 this year. Similarly, the number of automobiles stolen during Ramazan was 160 in 2015, 139 in 2016 and 111 this year. Motorbike theft and snatching also dropped over these years. The data revealed that 250 motorbikes were snatched in 2015, 226 the next year and 155 this year. However, the number of motorbike theft cases increased from 1,708 in 2015 to 2,110 in 2016 but reduced this year to 2,018.,Like vehicle snatchings, the number of mobile phone snatchings reduced significantly during the holy month over these years. In all, 1,512 mobile phones were snatched at gunpoint in 2015, 1,060 mobile phones the next year and 772 this year. However, the number of mobile phone thefts increased from 1,230 to 1,437 last year but reduced this year to 1,147.,The data showed that 13 cases of extortion and one case of kidnapping for ransom had been reported during Ramazan two years ago to the CPLC and police. While no kidnapping for ransom case was reported in 2016 and 2017, the number of extortion cases reduced from nine to seven.,As many as 42 people lost their lives in the month of Ramazan in 2015 on account of various factors including street crimes. The number of people killed in the next Ramazan remained exactly the same. However, this year the number of killings dropped to 26.,“These figures of the last three Ramazans in context of street crimes in the CTD database reconciled with the neutral CPLC data that showed decrease in all heads of street crimes in the month of Ramazan,” said CTD chief Additional IGP Dr Sanaullah Abbasi.,However, Dr Abbasi admitted that there could be instances of street crimes which were never reported to police or the CPLC. ,The CTD chief was of the opinion that a decrease in major crimes, including terror attacks, might have positively impacted street crime in the city. He also admitted that street crime was a “cognitive reality” and still there was greater room for improvement.,CPLC chief Zubair Habib told Dawn that the graph of major heads of street crime was on the decline in the metropolis, yet concrete steps were needed to improve the situation. He was of the opinion that one of the factors adversely impacting street crime was shortage of police manpower. ,Mr Habib said the army had recently completed training of around 5,000 to 6,000 newly recruited policemen and hopefully when they would be deployed in the field, the issue of shortage of manpower would be addressed to some extent.,Besides, the CPLC chief said, the police Madadgar 15 helpline would be outsourced to a “private party” to address the complaints of the general public that the police did not respond in a timely manner to their emergency calls. The move was in the final stage as a tender to this effect would be issued soon, he added. ,He said that private persons equipped with modern equipment would attend emergency calls of citizens, but their performance would be monitored both by the CPLC and the police department.,Sindh IGP A.D. Khowaja had promised to dedicate at least 100 vehicles — one vehicle at each police station — to respond to emergency calls of citizens, after the Sindh government had pledged to provide such number of mobile vans to the police department. ,Asked about the installation of CCTV cameras at the hotspots where street crime was rampant, the CPLC chief said that the project was still in the implementation stage."
16,2017-07-05,Quetta court grants bail to journalist arrested by FIA over 'anti-state' social media posts,"A Quetta court on Wednesday granted bail to journalist Zafarullah Achakzai, arrested by Federal Investigation Agency (FIA) for allegedly writing against national security institutions on social media.,Achakzai, who was working for ,, a Quetta-based daily, had been , on June 25 under the Prevention of Electronic Crimes Act 2016. He was later remanded to FIA custody for six days.,The FIA on Wednesday produced Achakzai before Ayesha Kakar, a judicial magistrate in Quetta, who granted bail against a Rs80,000 bond, an official of the agency told ,.   ,Achakzai is reportedly the first journalist to be arrested by the FIA in Balochistan for criticising law enforcement agencies. His arrest was condemned by journalists and social activists across the country, who had demanded his immediate release.,Niamatullah Achakzai, the father of Zafar Achakzai, had claimed that law enforcers had picked up his son a day before Eidul Fitr after cordoning off his residence."
17,2017-07-06,Woman axed  to death over land dispute,"MITHI: A married woman was axed to death allegedly by her husband’s rivals in Doori Bheel village near here on Wednesday.,Sambro Bheel stated in an FIR lodged at Mithi police station that his wife Walho Bheel, 52, was murdered by his opponents Saho Bheel, Kanji Bheel and Rajo Bheel when she was working in a field near the village. His rivals had a dispute with him over the ownership of a piece of land, he said. ,The woman’s body was brought to Mithi Civil Hospital and was later handed over to heirs after post-mortem. ,Police started investigation into the case but did not make any arrest till this report was filed."
18,2017-07-06,"Rapist, killer of minor hanged in Gujranwala","GUJRANWALA: A man convicted for rape and murder of a minor boy was hanged in the central jail here on Wednesday. ,According to Jail Superintendent Chaudhry Asghar, convict Qasir Shah had murdered seven-year-old Ayan after subjecting him to rape at Walgan Sagyan village in Sukhayki area of Hafizabad district in 2006. ,According to the prosecution, Shah lured the minor, who was playing outside his house, to fields, where he raped and then killed him. ,The victim’s parents, after failing to find the boy, lodged a case with police. Later, the body of the minor was found in a pond near the village.,The police took Shah into custody on suspicion who during interrogation confessed to have committed the heinous crime. ,District and Sessions Judge Ashtar Abbas handed down death sentence to the culprit who was hanged in the central jail."
19,2017-07-06,Journalist Zafar Achakzai released on bail,"QUETTA: Zafar Achakzai, chief reporter of a local newspaper held for writing against security institutions on social media, was freed on bail on Wednesday. ,He was picked up from his residence on June 24 and handed over to the Federal Investigation Agency whose officials obtained Mr Achakzai’s six-day remand from a court. ,On completion of the remand on Wednesday, the FIA officials produced him before Judicial Magistrate Ayesha Kakar who accepted the bail application submitted by Mr Achakzai’s lawyer.  Mr Achakzai works for Daily Qudrat owned by his father Niamat Achakzai."
20,2017-07-06,FIA official arrested for allegedly sexually assaulting foreigner at Islamabad airport,"An assistant director of the Federal Investigation Agency (FIA) was arrested Thursday on the charge that he sexually harassed an Afghan national at the Islamabad airport. ,A First Information Report (FIR) was registered and the agency also suspended the official. The developments came after Interior Minister Chaudhry Nisar took notice of the incident and ordered a detailed probe into it. ,According to the FIR, the complainant accused the official of sexually harassing her at the airport when she, along with her sister, arrived there from Afghanistan.,She alleged that they were taken by FIA officials to a secluded room at the airport where they were made to wait for five hours. Later, the officials removed the victim's sister from the room on the pretext of stamping her visa. Subsequently, the accused entered the room and attempted to assault the complainant.   ,The complainant said she managed to flee the scene after raising an alarm. ,She added that other airport officials at the scene had laughed at her plight instead of coming to her aid. ,The complainant said that she and her sister had been detained for not having the phone number of the hotel where they were supposed to stay in.,Police officials said they had arrested the accused after examining the CCTV footage of the airport and confirming the victim's account. ,The arrested official will be produced before a magistrate on Friday. "
21,2017-07-06,"Death penalty in Pakistan being used as political tool, researchers say","The death penalty in Pakistan is exceedingly used as a political tool, research conducted by the Justice Project Pakistan has found. Pakistan’s use of the death penalty has failed to deter crime and curb terrorism, it claims.,According to the research, until May 2017, a total of 465 prisoners had been sent to the gallows since Pakistan lifted the moratorium on executions in December 2014. This makes Pakistan the fifth most prolific executioner in the world, following China, Iran, Saudi Arabia and Iraq, the report says.,Punjab has emerged as the overwhelming practitioner of the death penalty, accounting for 83 per cent of executions, and 89pc of death sentences. However, it has witnessed only a 9.7pc drop in murder rates from 2015-2016. ,Sindh, on the other hand, has viewed a drop of nearly 25pc in murders over the same time period — even though it carried out only 18 executions compared to Punjab’s 382. ,In fact, murder rates in Pakistan were already in decline before the moratorium was lifted, casting even more doubt on the already dubious relationship between the death penalty and reducing crime, the Justice Project says.,Some more facts from the report include:,Pakistan has executed an average of 3.5 prisoners a week since
lifting the moratorium in Dec 2014,Punjab accounts for 83pc of the 465 executions that have taken
place from Dec 2014 – May 2017,Sindh has shown the greatest drop in murder rates, but accounts for
only 4pc of executions,Executions increase noticeably in the weeks following terrorist
attacks in Punjab,In Punjab, as the number of prisoners held beyond prison capacity
increases, so does the number of executions,A closer look at yearly trends of executions shows that Anti-Terrorism Courts (ATC) accounted for only 16pc of executions, the Justice Project says. In 2015, 65 people tried by ATCs were hanged, but that figure dropped to eight from Jan 2016 to May 2017. The majority of death sentences that have been carried out in that time have come from district and sessions courts, which do not have jurisdiction over terrorism cases.,The government has sought to justify lifting the moratorium for all 27 death-eligible crimes by claiming it is necessary to deter terrorist threats to Pakistan. However, data indicates that the government is mostly hanging terrorists through military courts in Khyber Pakhtunkhwa and through ATCs in Sindh, according to the Justice Project.,Another trend that has emerged is that the number of executions spike in the wake of a terrorist attack, especially in Punjab. This indicates that the use of executions, like the lifting of the moratorium, is often a reactionary step, according to the researchers.,In Punjab, there is another worrying trend that indicates that executions are being used as a means to make room in prisons that are facing overcrowding. Currently, 25 of the 27 prisons in the province house more prisoners than their capacity and the highest number of executions take place in the most overcrowded prisons.,Pakistan heads for its first UN review under the International Covenant on Civil and Political Rights (ICCPR) next week on July 11, which obligates it to uphold and respect the right to life for all its citizens. Pakistan’s return to an executing state has been taken up in the list of issues framed by the Human Rights Council committee.,In just one year after the moratorium was lifted, execution warrants for the mentally ill, physically disabled and juvenile offenders have been issued. More and more cases of wrongful executions have come to light since then. ,In October last year, the Supreme Court acquitted two brothers in Bahawalpur after they spent 11 years on death row, only to find they had already been executed the year before. ,Another prisoner was found innocent a year after he had been found dead in his cell. There are likely many more cases like this, considering a condemned prisoner will spend an average of 11 years on death row, the Justice Project fears.,“Pakistan’s troubling and continued use of the death penalty has continuously fallen short of meeting its international human rights commitments and fair trial standards, as well as our own domestic laws,” says Sarah Belal, executive director of the Justice Project. ,“The death penalty is not an effective tool to curb militancy and crime, as the data clearly shows, yet has been increasingly used for political gain. ,""It is time for the stakeholders to commit to genuine reform in our criminal justice system, and until they do so, to restore the moratorium on the death penalty.”"
